,task,descrip,vh_actions
71,Browse internet,"Walk to home office, walk to desk, sit in chair, turn on laptop, grab mouse, open a web page to look at it, move mouse, keep looking at laptop screen.",[WALK] <home_office> (1.161) [WALK] <desk> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <laptop> (1.1002) [SWITCHON] <laptop> (1.1002) [FIND] <mouse> (1.1003) [GRAB] <mouse> (1.1003) [TURNTO] <laptop> (1.1002) [LOOKAT] <laptop> (1.1002) [TOUCH] <mouse> (1.1003) [TURNTO] <laptop> (1.1002) [LOOKAT] <laptop> (1.1002) 
72,Browse internet,I go to the office and go to the computer. I turn the computer on and use the internet.,[WALK] <home_office> (1.161) [WALK] <desk> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <computer> (1.1002) [SWITCHON] <computer> (1.1002) 
73,Browse internet,I sat on the chair in front of computer.I switch on the computer.Type the topic in the search bar using keyboard and grab mouse to click.look at the computer to select the first search result.,[FIND] <chair> (1.263) [SIT] <chair> (1.263) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <keyboard> (1.1001) [TYPE] <keyboard> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
74,Browse internet,Walk to home office. Find computer. Sit in chair in front of computer desk. Turn on computer. Open internet browser. Browse the internet,[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [FIND] <computer> (1.1000) [WALK] <desk> (1.1001) [FIND] <chair> (1.1002) [SIT] <chair> (1.1002) [SWITCHON] <computer> (1.1000) 
75,Browse internet,Find Computer and in the chair in from of him. Switch on the computer. Look at it and browse typing addresses with the keyboard.,[FIND] <computer> (1.1000) [FIND] <chair> (1.263) [SIT] <chair> (1.263) [SWITCHON] <computer> (1.1000) [TURNTO] <chair> (1.263) [LOOKAT] <chair> (1.263) [FIND] <keyboard> (1.1001) [TYPE] <keyboard> (1.1001) 
76,Browse internet,"I walk to my office. I take a seat in front of my desk. I move my mouse around and turn on my computer. Once my computer is on, I type in my password. Once I'm on my desktop, I locate Google Chrome browser. I double-tap on that icon to enter the browser. I type in a web address to navigate to that location. I navigate to another web address when I am bored of the one I'm currently at.",[WALK] <home_office> (1.161) [WALK] <desk> (1.1000) [FIND] <desk> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [FIND] <computer> (1.1003) [TURNTO] <computer> (1.1003) [LOOKAT] <computer> (1.1003) [SWITCHON] <computer> (1.1003) [FIND] <keyboard> (1.1004) [TYPE] <keyboard> (1.1004) [GRAB] <mouse> (1.1002) [TYPE] <keyboard> (1.1004) 
77,Browse internet,Walk to the Home office. Sit on the chair. Switch on the computer. Type with keyboard for internet.,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [FIND] <keyboard> (1.1002) [TYPE] <keyboard> (1.1002) 
78,Browse internet,"I want to search the web so I go into my office, see my computer on the desk so I go sit in front of it, turn on the computer and use the keyboard to browse the internet.",[WALK] <home_office> (1.161) [WALK] <desk> (1.1000) [FIND] <desk> (1.1000) [TURNTO] <desk> (1.1000) [LOOKAT] <desk> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <computer> (1.1002) [SWITCHON] <computer> (1.1002) [FIND] <keyboard> (1.1003) [TYPE] <keyboard> (1.1003) 
79,Browse internet,"Go to home office, turn on the computer, open the internet and browse around the internet.",[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
80,Browse internet,"Go find a computer, turn it on, click google, and browse the internet.",[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
81,Browse internet,Walk to the home office. Proceed to sit in the chair and turn on the computer. Browse the Web.,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) 
82,Browse internet,I pick up my phone. I touch it to navigate to the web browser. I can swipe and tap the screen to visit different websites. Then I read or watch the content within those websites.,[WALK] <home_office> (1.161) [WALK] <phone> (1.1000) [FIND] <phone> (1.1000) [GRAB] <phone> (1.1000) [TOUCH] <phone> (1.1000) [TURNTO] <phone> (1.1000) [LOOKAT] <phone> (1.1000) 
83,Browse internet,OPEN THE BROWSER ON YOUR COMPUTER,[FIND] <filing_cabinet> (1.1000) [FIND] <computer> (1.1001) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) 
84,Browse internet,I walk to the home office. I sit on the chair. I switch on the computer. I look at my monitor. I open the browsing application by click the application using mouse. I type the book that I need to searching for (using keyboard). I found the book that I need. I read the book. I switch on the printer. I print the information that I get. I read carefully the book information that I got. I switch off the printer. I switch of the computer.,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [FIND] <fax_machine> (1.1002) [SWITCHON] <fax_machine> (1.1002) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) [FIND] <keyboard> (1.1003) [TYPE] <keyboard> (1.1003) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) [FIND] <novel> (1.1004) [GRAB] <novel> (1.1004) [READ] <novel> (1.1004) [SWITCHOFF] <fax_machine> (1.1002) [SWITCHOFF] <computer> (1.1001) 
85,Browse internet,Browsing the internet contains checking the internet on the computer and opening web browser,[FIND] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
86,Browse internet,first ill go to the entrance hall ill enter into my home office after that i will switch on mylaptop and then with the use of mouse and keyboard i will browse,[WALK] <home_office> (1.161) [WALK] <home_office> (1.161) [WALK] <keyboard> (1.1000) [FIND] <keyboard> (1.1000) [GRAB] <keyboard> (1.1000) [FIND] <laptop> (1.1001) [SWITCHON] <laptop> (1.1001) [FIND] <mouse> (1.1002) [TOUCH] <mouse> (1.1002) [TYPE] <keyboard> (1.1000) [TURNTO] <laptop> (1.1001) [WATCH] <laptop> (1.1001) 
87,Browse internet,I want to surf the internet and look around at funny pictures.,[WALK] <home_office> (1.161) [WALK] <light> (1.217) [FIND] <light> (1.217) [SWITCHON] <light> (1.217) [FIND] <keyboard> (1.1000) [GRAB] <keyboard> (1.1000) [FIND] <desk> (1.1001) [OPEN] <desk> (1.1001) [PUTBACK] <keyboard> (1.1000) <desk> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [FIND] <mousepad> (1.1003) [PUTBACK] <mouse> (1.1002) <mousepad> (1.1003) [PLUGIN] <keyboard> (1.1000) [PLUGIN] <mouse> (1.1002) [FIND] <computer> (1.1004) [SWITCHON] <computer> (1.1004) [FIND] <chair> (1.1005) [SIT] <chair> (1.1005) [TURNTO] <computer> (1.1004) [LOOKAT] <computer> (1.1004) [GRAB] <mouse> (1.1002) [TOUCH] <mouse> (1.1002) [TYPE] <keyboard> (1.1000) [TURNTO] <computer> (1.1004) [LOOKAT] <computer> (1.1004) 
88,Browse internet,Walk to home office. Walk to computer. Switch on Computer.,[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [SWITCHON] <computer> (1.1000) 
89,Browse internet,Go to home office and browse the internet.,[RUN] <home_office> (1.161) [WALK] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [FIND] <keyboard> (1.1003) [GRAB] <keyboard> (1.1003) [TYPE] <keyboard> (1.1003) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [TOUCH] <mouse> (1.1002) [TYPE] <keyboard> (1.1003) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [TOUCH] <mouse> (1.1002) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
90,Browse internet,"I walk into the office, I find the computer. I turn on the computer. I find the chair. I sit down on the chair. I find the keyboard and mouse. I place my hands on the keyboard and mouse. I type on the keyboard to browse the internet.",[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <keyboard> (1.1002) [FIND] <mouse> (1.1003) [TOUCH] <keyboard> (1.1002) [TOUCH] <mouse> (1.1003) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [TYPE] <keyboard> (1.1002) 
91,Browse internet,I go to the home office. I put the laptop on the desk. I sit on the chair. I switch on my laptop and I type on the keyboard and browse the internet.,[WALK] <home_office> (1.161) [WALK] <laptop> (1.1000) [FIND] <laptop> (1.1000) [GRAB] <laptop> (1.1000) [FIND] <desk> (1.1001) [OPEN] <desk> (1.1001) [PUTBACK] <laptop> (1.1000) <desk> (1.1001) [FIND] <chair> (1.1002) [SIT] <chair> (1.1002) [SWITCHON] <laptop> (1.1000) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [FIND] <keyboard> (1.1003) [TYPE] <keyboard> (1.1003) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) 
92,Browse internet,"walk to home office, look at the computer, switch on the computer, sit in the chair, type using keyboard for browsing the details in internet",[WALK] <home_office> (1.161) [WALK] <computer> (1.1000) [FIND] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <chair> (1.1001) [SIT] <chair> (1.1001) [FIND] <keyboard> (1.1002) [TYPE] <keyboard> (1.1002) 
93,Browse internet,I sit in the chair and switch computer on. I use the mouse and look at the computer. I then switch the computer off.,[WALK] <home_office> (1.161) [WALK] <chair> (1.1000) [FIND] <chair> (1.1000) [SIT] <chair> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) [SWITCHOFF] <computer> (1.1001) 
94,Browse internet,Sit at computer and surf the web,[FIND] <chair> (1.263) [SIT] <chair> (1.263) [FIND] <mouse> (1.1000) [GRAB] <mouse> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) [TURNTO] <computer> (1.1001) [LOOKAT] <computer> (1.1001) 
95,Browse internet,"open browser, type what you want search, click on link you want.",[FIND] <computer> (1.273) [TURNTO] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [TURNTO] <mouse> (1.277) [POINTAT] <mouse> (1.277) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [TURNTO] <mouse> (1.277) [POINTAT] <mouse> (1.277) 
96,Browse internet,"I use the computer within my home office to look through the internet. To do this, I use my mouse and keyboard as well as sit in a comfortable chair.",[FIND] <chair> (1.59) [SIT] <chair> (1.59) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [FIND] <keyboard> (1.1001) [TYPE] <keyboard> (1.1001) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) [TYPE] <keyboard> (1.1001) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
97,Browse internet,I walk to the home office and find the computer. I switch on the computer and open the browser. I type in Google and press search.,[FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
98,Browse internet,"walk into Living room, look for computer, walk to computer, turn on computer, grab mouse, click mouse",[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [WALK] <computer> (1.273) [TURNTO] <computer> (1.273) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) 
99,Browse internet,"I go to the living room, where my computer is. I locate it, switch it on and type desired URL adress in the web browser.",[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) 
100,Browse internet,"Switch on computer, find mouse and keyboard and browse mails.",[FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [GRAB] <mouse> (1.277) [FIND] <mail> (1.1000) [GRAB] <mail> (1.1000) [READ] <mail> (1.1000) 
101,Browse internet,Navigate to different websites in order to find relevant information,[STANDUP] [WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
102,Browse internet,"I walk in the living room, find the computer and sit down on a chair. I turn on the computer. I grab the computer mouse.",[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) 
103,Browse internet,I go to the office and go to the computer. I turn the computer on and use the internet.,[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) 
104,Browse internet,I sat on the chair in front of computer.I switch on the computer.Type the topic in the search bar using keyboard and grab mouse to click.look at the computer to select the first search result.,[FIND] <chair> (1.59) [SIT] <chair> (1.59) [FIND] <computer> (1.1000) [SWITCHON] <computer> (1.1000) [FIND] <keyboard> (1.1001) [TYPE] <keyboard> (1.1001) [FIND] <mouse> (1.1002) [GRAB] <mouse> (1.1002) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
105,Browse internet,For browsing internet walk to home office. Find Computer. Walk to Computer. Find Chair. Sit in a chair and switch on computer. Connect with internet and browse the net.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [WALK] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [SWITCHON] <computer> (1.273) 
106,Browse internet,I go to my desk. I turn on the computer. I open a web page and look at it.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
107,Browse internet,Walk into the home office. Walk up to the chair. Sit down in the chair. Type with the keyboard.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) 
108,Browse internet,"I will walk to the computer at the desk in my home office, sit in the chair, turn on the computer, open a web browser, type in the address, and view the computer.",[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) [TOUCH] <mouse> (1.277) [FIND] <keyboard> (1.275) [GRAB] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
109,Browse internet,Walk to the Home office. Sit on the chair. Switch on the computer. Type with keyboard for internet.,[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) 
110,Browse internet,"I want to search the web so I go into my office, see my computer on the desk so I go sit in front of it, turn on the computer and use the keyboard to browse the internet.",[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <desk> (1.251) [TURNTO] <desk> (1.251) [LOOKAT] <desk> (1.251) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) 
111,Browse internet,Walk to the home office. Proceed to sit in the chair and turn on the computer. Browse the Web.,[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
112,Browse internet,Go to office. Turn on computer. Pull out chair. Sit in chair. Use keyboard and mouse.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <chair> (1.254) [PULL] <chair> (1.254) [SIT] <chair> (1.254) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) 
113,Browse internet,I go to my home office. I sit on the chair right in front of my computer. I turn on the computer. Use the mouse to open the web browser. Use the keyboard to type the URL that I want to visit.,[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [FIND] <mouse> (1.277) [TOUCH] <mouse> (1.277) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
114,Browse internet,I turn on computer. I use keyboard to type. I open browser. I search.,[WALK] <bedroom> (1.189) [WALK] <computer> (1.1000) [FIND] <keyboard> (1.1001) [TYPE] <keyboard> (1.1001) [TURNTO] <computer> (1.1000) [LOOKAT] <computer> (1.1000) 
115,Browse internet,"i'm walkin to the home office, i'm walking to the desk, i'm sitting on the chair, i'm turning on the computer and i'm browsing the internet.",[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
116,Browse internet,Browsing the internet contains checking the internet on the computer and opening web browser,[FIND] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
117,Browse internet,I want to surf the internet and look around at funny pictures.,[WALK] <home_office> (1.248) [WALK] <light> (1.280) [FIND] <light> (1.280) [SWITCHON] <light> (1.280) [FIND] <keyboard> (1.275) [GRAB] <keyboard> (1.275) [FIND] <desk> (1.251) [OPEN] <desk> (1.251) [PUTBACK] <keyboard> (1.275) <desk> (1.251) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) [FIND] <mousepad> (1.276) [PUTBACK] <mouse> (1.277) <mousepad> (1.276) [PLUGIN] <keyboard> (1.275) [PLUGIN] <mouse> (1.277) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [GRAB] <mouse> (1.277) [TOUCH] <mouse> (1.277) [TYPE] <keyboard> (1.275) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
118,Browse internet,walk to living room. look at computer. switch on computer. sit in chair. watch computer. switch off computer.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [WATCH] <computer> (1.273) [SWITCHOFF] <computer> (1.273) 
119,Browse internet,I walk into my home office and walk up to my desk. I pull out the chair and sit down. I turn on the computer. After the computer is turned on I click on the google icon. I enter Disney Cruise Line into the search bar and browse the internet.,[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <chair> (1.254) [PULL] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [TURNTO] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <keyboard> (1.275) [TURNTO] <keyboard> (1.275) [LOOKAT] <keyboard> (1.275) [TYPE] <keyboard> (1.275) 
120,Browse internet,Walk to home office. Walk to computer. Switch on Computer.,[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [SWITCHON] <computer> (1.273) 
121,Browse internet,"I walk into the office, I find the computer. I turn on the computer. I find the chair. I sit down on the chair. I find the keyboard and mouse. I place my hands on the keyboard and mouse. I type on the keyboard to browse the internet.",[WALK] <home_office> (1.248) [WALK] <computer> (1.273) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <keyboard> (1.275) [FIND] <mouse> (1.277) [TOUCH] <keyboard> (1.275) [TOUCH] <mouse> (1.277) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [TYPE] <keyboard> (1.275) 
122,Browse internet,"I go to the office and sit in a chair, I turn on the computer and grab the mouse. I type on the keyboard and starting working on the computer.",[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <desk> (1.251) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) [FIND] <keyboard> (1.275) [TYPE] <keyboard> (1.275) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
123,Browse internet,Browsing the internet for information.,[WALK] <home_office> (1.248) [WALK] <desk> (1.251) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <mouse> (1.277) [TOUCH] <mouse> (1.277) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) 
124,Browse internet,I sit in the chair and switch computer on. I use the mouse and look at the computer. I then switch the computer off.,[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [FIND] <mouse> (1.277) [GRAB] <mouse> (1.277) [TURNTO] <computer> (1.273) [LOOKAT] <computer> (1.273) [SWITCHOFF] <computer> (1.273) 
125,Browse internet,Browse the internet,[WALK] <home_office> (1.248) [WALK] <chair> (1.254) [FIND] <chair> (1.254) [SIT] <chair> (1.254) [FIND] <computer> (1.273) [SWITCHON] <computer> (1.273) [TURNTO] <chair> (1.254) [LOOKAT] <chair> (1.254) 
126,Browse internet,"I go in my office, sit at my desk turn on the computer, then type on my keyboard and open my web browser.",[WALK] <home_office> (1.1) [WALK] <desk> (1.18) [FIND] <chair> (1.17) [SIT] <chair> (1.17) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <keyboard> (1.93) [TYPE] <keyboard> (1.93) 
127,Browse internet,I walk to the home office and find the computer. I switch on the computer and open the browser. I type in Google and press search.,[FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [TURNTO] <computer> (1.98) [LOOKAT] <computer> (1.98) 
128,Browse internet,"walk into Living room, look for computer, walk to computer, turn on computer, grab mouse, click mouse",[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [TURNTO] <computer> (1.98) [LOOKAT] <computer> (1.98) [WALK] <computer> (1.98) [TURNTO] <computer> (1.98) [FIND] <mouse> (1.94) [GRAB] <mouse> (1.94) 
129,Browse internet,"I go to the living room, where my computer is. I locate it, switch it on and type desired URL adress in the web browser.",[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <keyboard> (1.93) [TYPE] <keyboard> (1.93) 
130,Browse internet,"go to the office, turn computer on, open an browser or any application to open any website.",[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <computer> (1.98) 
131,Browse internet,Go to the office an open the computer at the desk,[FIND] <chair> (1.124) [SIT] <chair> (1.124) [FIND] <keyboard> (1.1000) [GRAB] <keyboard> (1.1000) [FIND] <computer> (1.1001) [SWITCHON] <computer> (1.1001) 
132,Browse internet,"Switch on computer, find mouse and keyboard and browse mails.",[FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <mouse> (1.94) [FIND] <keyboard> (1.93) [TYPE] <keyboard> (1.93) [GRAB] <mouse> (1.94) [FIND] <mail> (1.1000) [GRAB] <mail> (1.1000) [READ] <mail> (1.1000) 
133,Browse internet,Navigate to different websites in order to find relevant information,[STANDUP] [WALK] <home_office> (1.1) [WALK] <chair> (1.17) [FIND] <chair> (1.17) [SIT] <chair> (1.17) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [TURNTO] <computer> (1.98) [LOOKAT] <computer> (1.98) 
134,Browse internet,"switch on the computer,  grab a chair and sit in front of the computer. type with keyboard and browse the internet.",[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [FIND] <chair> (1.17) [SIT] <chair> (1.17) [SWITCHON] <computer> (1.98) [TURNTO] <computer> (1.98) [LOOKAT] <computer> (1.98) [FIND] <keyboard> (1.93) [TYPE] <keyboard> (1.93) 
135,Browse internet,"stand up, walk to living room, find computer, walk to computer, switch on computer, find mouse, grab mouse, look at button to scroll",[STANDUP] [WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [WALK] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <mouse> (1.94) [GRAB] <mouse> (1.94) [FIND] <button> (1.1000) [TURNTO] <button> (1.1000) [LOOKAT] <button> (1.1000) 
136,Browse internet,"Turn on computer, pull up browser, browse the internet",[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [TURNTO] <computer> (1.98) [LOOKAT] <computer> (1.98) 
137,Browse internet,"I walk in the living room, find the computer and sit down on a chair. I turn on the computer. I grab the computer mouse.",[WALK] <home_office> (1.1) [WALK] <chair> (1.17) [FIND] <chair> (1.17) [SIT] <chair> (1.17) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) [FIND] <mouse> (1.94) [GRAB] <mouse> (1.94) 
138,Browse internet,Walk to the Home Office.  Find the computer.  Turn on the computer.,[WALK] <home_office> (1.1) [WALK] <computer> (1.98) [FIND] <computer> (1.98) [SWITCHON] <computer> (1.98) 
139,Browse internet,The task is browse and surf on the internet regarding a particular topic,[WALK] <bedroom> (1.199) [WALK] <laptop> (1.1000) [FIND] <laptop> (1.1000) [SWITCHON] <laptop> (1.1000) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [WATCH] <laptop> (1.1000) 
140,Browse internet,"Walk to home office, walk to desk, sit in chair, turn on laptop, grab mouse, open a web page to look at it, move mouse, keep looking at laptop screen.",[WALK] <home_office> (1.1) [WALK] <desk> (1.18) [FIND] <chair> (1.17) [SIT] <chair> (1.17) [FIND] <laptop> (1.1000) [SWITCHON] <laptop> (1.1000) [FIND] <mouse> (1.94) [GRAB] <mouse> (1.94) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) [TOUCH] <mouse> (1.94) [TURNTO] <laptop> (1.1000) [LOOKAT] <laptop> (1.1000) 
